City,State,Location
New York,New York,40.66°N 73.93°W
Los Angeles,California,34.01°N 118.41°W
Chicago,Illinois,41.83°N 87.68°W
Houston,Texas,29.78°N 95.39°W
Phoenix,Arizona,33.57°N 112.09°W
Philadelphia,Pennsylvania,40.00°N 75.13°W
San Antonio,Texas,29.47°N 98.52°W
San Diego,California,32.81°N 117.13°W
Dallas,Texas,32.79°N 96.76°W
San Jose,California,37.29°N 121.81°W
Austin,Texas,30.30°N 97.75°W
Jacksonville,Florida,30.33°N 81.66°W
Fort Worth,Texas,32.78°N 97.34°W
Columbus,Ohio,39.98°N 82.98°W
Indianapolis,Indiana,39.77°N 86.14°W
Charlotte,North Carolina,35.20°N 80.83°W
San Francisco,California,37.72°N 123.03°W
Seattle,Washington,47.62°N 122.35°W
Denver,Colorado,39.76°N 104.88°W
Oklahoma City,Oklahoma,35.46°N 97.51°W
Nashville,Tennessee,36.17°N 86.78°W
El Paso,Texas,31.84°N 106.42°W
Washington,District of Columbia,38.90°N 77.01°W
Boston,Massachusetts,42.33°N 71.02°W
Las Vegas,Nevada,36.22°N 115.26°W
Portland,Oregon,45.53°N 122.65°W
Detroit,Michigan,42.38°N 83.10°W
Louisville,Kentucky,38.16°N 85.64°W
Memphis,Tennessee,35.10°N 89.97°W
Baltimore,Maryland,39.30°N 76.61°W
Milwaukee,Wisconsin,43.06°N 87.96°W
Albuquerque,New Mexico,35.10°N 106.64°W
Fresno,California,36.78°N 119.79°W
Tucson,Arizona,32.15°N 110.87°W
Sacramento,California,38.56°N 121.46°W
Mesa,Arizona,33.40°N 111.71°W
Kansas City,Missouri,39.12°N 94.55°W
Atlanta,Georgia,33.76°N 84.42°W
Omaha,Nebraska,41.26°N 96.04°W
Colorado Springs,Colorado,38.86°N 104.76°W
Raleigh,North Carolina,35.83°N 78.64°W
Virginia Beach,Virginia,36.78°N 76.02°W
Long Beach,California,33.80°N 118.15°W
Miami,Florida,25.77°N 80.20°W
Oakland,California,37.76°N 122.22°W
Minneapolis,Minnesota,44.96°N 93.26°W
Tulsa,Oklahoma,36.12°N 95.90°W
Bakersfield,California,35.32°N 119.01°W
Wichita,Kansas,37.69°N 97.34°W
Arlington,Texas,32.70°N 97.12°W
Aurora,Colorado,39.68°N 104.68°W
Tampa,Florida,27.97°N 82.47°W
New Orleans,Louisiana,30.05°N 89.93°W
Cleveland,Ohio,41.47°N 81.67°W
Anaheim,California,33.85°N 117.76°W
Honolulu,Hawaii,21.32°N 157.84°W
Henderson,Nevada,36.00°N 115.03°W
Stockton,California,37.97°N 121.31°W
Lexington,Kentucky,38.04°N 84.45°W
Corpus Christi,Texas,27.75°N 97.17°W
Riverside,California,33.93°N 117.39°W
Santa Ana,California,33.73°N 117.88°W
Orlando,Florida,28.41°N 81.27°W
Irvine,California,33.67°N 117.77°W
Cincinnati,Ohio,39.14°N 84.50°W
Newark,New Jersey,40.72°N 74.17°W
Saint Paul,Minnesota,44.94°N 93.10°W
Pittsburgh,Pennsylvania,40.43°N 79.97°W
Greensboro,North Carolina,36.09°N 79.82°W
St. Louis,Missouri,38.63°N 90.24°W
Lincoln,Nebraska,40.81°N 96.68°W
Plano,Texas,33.05°N 96.74°W
Anchorage,Alaska,61.17°N 149.28°W
Durham,North Carolina,35.98°N 78.90°W
Jersey City,New Jersey,40.71°N 74.06°W
Chandler,Arizona,33.28°N 111.85°W
Chula Vista,California,32.62°N 117.01°W
Buffalo,New York,42.89°N 78.85°W
North Las Vegas,Nevada,36.28°N 115.09°W
Gilbert,Arizona,33.31°N 111.74°W
Madison,Wisconsin,43.08°N 89.42°W
Reno,Nevada,39.54°N 119.84°W
Toledo,Ohio,41.66°N 83.58°W
Fort Wayne,Indiana,41.08°N 85.14°W
Lubbock,Texas,33.56°N 101.88°W
St. Petersburg,Florida,27.76°N 82.64°W
Laredo,Texas,27.56°N 99.48°W
Irving,Texas,32.85°N 96.97°W
Chesapeake,Virginia,36.67°N 76.30°W
Winston–Salem,North Carolina,36.10°N 80.26°W
Glendale,Arizona,33.53°N 112.18°W
Scottsdale,Arizona,33.68°N 111.86°W
Garland,Texas,32.90°N 96.63°W
Boise,Idaho,43.60°N 116.23°W
Norfolk,Virginia,36.92°N 76.24°W
Spokane,Washington,47.66°N 117.43°W
Fremont,California,37.49°N 121.94°W
Richmond,Virginia,37.53°N 77.47°W
Santa Clarita,California,34.40°N 118.50°W
San Bernardino,California,34.14°N 117.29°W
Baton Rouge,Louisiana,30.44°N 91.13°W
Hialeah,Florida,25.86°N 80.30°W
Tacoma,Washington,47.25°N 122.45°W
Modesto,California,37.63°N 121.00°W
Port St. Lucie,Florida,27.28°N 80.38°W
Huntsville,Alabama,34.69°N 86.67°W
Des Moines,Iowa,41.57°N 93.61°W
Moreno Valley,California,33.92°N 117.20°W
Fontana,California,34.10°N 117.46°W
Frisco,Texas,33.15°N 96.82°W
Rochester,New York,43.16°N 77.61°W
Yonkers,New York,40.94°N 73.86°W
Fayetteville,North Carolina,35.08°N 78.97°W
Worcester,Massachusetts,42.26°N 71.80°W
Columbus,Georgia,32.51°N 84.87°W
Cape Coral,Florida,26.64°N 81.99°W
McKinney,Texas,33.19°N 96.66°W
Little Rock,Arkansas,34.72°N 92.35°W
Oxnard,California,34.20°N 119.20°W
Amarillo,Texas,35.19°N 101.83°W
Augusta,Georgia,33.36°N 82.07°W
Salt Lake City,Utah,40.77°N 111.93°W
Montgomery,Alabama,32.34°N 86.26°W
Birmingham,Alabama,33.52°N 86.79°W
Grand Rapids,Michigan,42.96°N 85.65°W
Grand Prairie,Texas,32.68°N 97.02°W
Overland Park,Kansas,38.88°N 94.69°W
Tallahassee,Florida,30.45°N 84.25°W
Huntington Beach,California,33.69°N 118.00°W
Sioux Falls,South Dakota,43.53°N 96.73°W
Peoria,Arizona,33.78°N 112.30°W
Knoxville,Tennessee,35.97°N 83.94°W
Glendale,California,34.18°N 118.24°W
Vancouver,Washington,45.63°N 122.59°W
