date,City,State,Dead,Injured,Total,Description
"December 31, 2021",Capitol Heights,Maryland,0,4,4,An adult and three juveniles were wounded in an evening shooting.
"December 31, 2021",Los Angeles ,California,0,6,6,Six shoppers were wounded at a grocery supermarket by two male shooters.
"December 31, 2021",Gulfport,Mississippi,4,3,7,"During an outdoor New Year's Eve party, a physical fight started escalated to a shooting, with multiple people firing guns."
"December 30, 2021",Philadelphia ,Pennsylvania,0,6,6,Six shooters opened fire on a busy street with six wounded.
"December 30, 2021",Kirksville,Missouri,2,2,4,An adult and infant were killed and two adults wounded in an afternoon shooting.
"December 27, 2021",Mobile ,Alabama,1,3,4,A man was killed and three others wounded at a local gas station.
"December 27, 2021",Denver ,Colorado,6,2,8,A gunman went on a shooting spree across multiple locations in the Denver metropolitan area before dying in a shootout with police.
"December 27, 2021",Youngstown ,Ohio,1,3,4,A man was killed and three others were wounded at a local apartment complex.
"December 26, 2021",Buffalo ,New York,0,4,4,Four adults were wounded inside a pop-up store.
"December 26, 2021",Clear Brook,Virginia,1,4,5,"Four people were wounded at a rest stop, and the shooter fled before police arrived. The shooter was later found dead."
"December 26, 2021",Garland,Texas,3,1,4,Three teenagers were killed and a fourth wounded in a convenience store.
"December 26, 2021",Fayette,Mississippi,0,7,7,Seven people were wounded at a party in the early morning. An 18-year-old was later arrested.
"December 26, 2021",Philadelphia ,Pennsylvania,0,4,4,Four people were wounded in a drive by shooting in North Philadelphia.
"December 25, 2021",Lafayette,Louisiana,0,4,4,Four people were wounded near a Waffle House in the early morning.
"December 24, 2021",New York City ,New York,0,4,4,Four men were wounded outside a Brooklyn deli shortly before midnight.
"December 24, 2021",Roswell,Georgia,1,3,4,A woman was arrested after killing one and wounding three in a domestic incident at an apartment.
"December 24, 2021",Swissvale,Pennsylvania,0,6,6,"Six people were found wounded in a local home, with one identified as the potential shooter."
"December 19, 2021",Brooklyn,Illinois,1,3,4,One man was killed and three others were wounded in a shooting across the street from a strip club.
"December 17, 2021",Baltimore ,Maryland,1,3,4,One person was killed and three wounded in Upton.
"December 17, 2021",Portsmouth,Virginia,0,4,4,Four adults were wounded in the early morning at a gentleman's club.
"December 17, 2021",Baltimore ,Maryland,1,4,5,A man was killed and four people wounded in Penn North.
"December 16, 2021",Troy ,Alabama,0,4,4,Four people were wounded in an afternoon shooting.
"December 13, 2021",Fresno ,California,0,4,4,Police were alerted to four wounded by gunfire after an argument escalated through a shotspotter alert.
"December 13, 2021",Philadelphia ,Pennsylvania,0,4,4,"Four adults were wounded in Kengsington, they were found by patrolling police."
"December 13, 2021",Durham ,North Carolina,2,4,6,"Six people in an SUV were shot at in the early morning, causing the SUV to crash. Two adults were killed and four juveniles wounded."
"December 12, 2021",Bolton,Mississippi,0,6,6,Six people were wounded at local sports bar in the early morning.
"December 12, 2021",Tampa ,Florida,0,5,5,"Five people were wounded in the early morning, a suspect was arrested days later."
"December 12, 2021",Baytown,Texas,1,14,15,One person was killed and fourteen others wounded in a drive-by shooting at a memorial vigil in Baytown for another shooting victim.
"December 12, 2021",Woodbridge,Virginia,0,4,4,Three security guards and a bystander were shot by a gunman at a nightclub.
"December 11, 2021",River Grove ,Illinois,1,3,4,"Four adults were shot at a bowling alley at approximately 1 AM, killing a 23-year-old man."
"December 10, 2021",Lansing ,Michigan,1,3,4,"Three teenagers and a baby were shot while in a car near an intersection, killing a 17-year-old girl."
"December 10, 2021",Orlando ,Florida,0,5,5,Five people were shot in a drive-by shooting in the Callahan neighborhood.
"December 10, 2021",Charlotte,North Carolina,0,5,5,Five people were shot in the Grier Heights neighborhood.
"December 9, 2021",Beloit,Wisconsin,1,5,6,"Responding officers found one person killed and two wounded, with an additional two wounded found at the hospital."
"December 6, 2021",Philadelphia ,Pennsylvania,0,4,4,Three men and a teenager were wounded in Brewerytown.
"December 5, 2021",Detroit ,Michigan,2,2,4,"Four men were shot by a gunman, two of whom succumbed to their injuries."
"December 5, 2021",El Paso ,Texas,1,3,4,"A fight broke out in the parking lot of a bar, after a group was ejected. It escalated, with bystanders attempting to intervene. A man walked up and shot at the bystanders killing one and wounding three."
"December 3, 2021",Memphis ,Tennessee,2,2,4,Two teenagers were killed and a teenager and an infant were wounded in a drive-by shooting at a gas station.
"December 2, 2021",Elizabeth City,North Carolina,3,3,6,Responding officers found two adults and a child killed and three adults wounded.
"November 30, 2021",Oxford,Michigan,4,7,11,"Oxford High School shooting: A 15-year-old student opened fire at Oxford High School initially killing three students and wounding seven others and a teacher, before being arrested."
"November 30, 2021",Rex,Georgia,4,2,6,Responding officers to a domestic incident were shot at by the suspect. The suspect had killed two women and wounded a child previously. An officer and the suspect were killed and another officer was wounded.
"November 28, 2021",Baltimore ,Maryland,0,7,7,Responding police found six adults and a teenager wounded in East Baltimore.
"November 28, 2021",Evanston ,Illinois,1,4,5,A teenager was killed and four others wounded at a gas station.
"November 28, 2021",Lancaster,California,5,0,5,A man killed his four children and his mother in law in their home. He turned himself in to police an hour later and was charged with five counts of murder.
"November 28, 2021",Aurora ,Colorado,0,5,5,Five youths were wounded in a shooting.
"November 28, 2021",Philadelphia ,Pennsylvania,0,4,4,Four people were wounded in an evening shooting in Kingsessing.
"November 27, 2021",Newark ,New Jersey,1,3,4,A teenager was killed and three others were wounded after men in a car opened fire in the South Ward.
"November 26, 2021",Nashville ,Tennessee,3,4,7,"Home invaders killed two teenagers and wounded their mother, two teenage siblings and an adult sibling. One of the assailants was also killed."
"November 25, 2021",San Antonio ,Texas,2,2,4,Two men were killed and two others wounded in a believed targeted drive-by shooting. Eyewitnesses are not cooperating with police.
"November 25, 2021",Green Sea,South Carolina,0,4,4,Four people were wounded and transported to the hospital in private vehicles.
"November 23, 2021",Lehigh Acres,Florida,0,4,4,Four people were wounded after a large party was ending. Police believe it connected to another incident near a local hospital.
"November 23, 2021",Marshall ,Texas,1,3,4,A man was killed and three others wounded shortly before noon. A suspect was arrested.
"November 22, 2021",Warsaw,North Carolina,2,2,4,Two men were killed and two juveniles were wounded while in a vehicle outside an apartment complex.
"November 21, 2021",Baton Rouge ,Louisiana,1,4,5,A man was killed and four others were wounded in the parking lots of a local club.
"November 21, 2021",Passaic,New Jersey,0,5,5,Four adults and one child were shot during a backyard party.
"November 20, 2021",Fresno ,California,2,2,4,Two men were killed and two wounded at an apartment complex.
"November 20, 2021",Berwyn,Illinois,0,4,4,Four people were wounded at a local bar in the early morning.
"November 18, 2021",Cambridge,Maryland,1,3,4,"One teen was killed, and three other teens were wounded in two separate but related shootings on the same block."
"November 17, 2021",East St. Louis ,Illinois,1,3,4,A man was killed and three others wounded in an afternoon shooting.
"November 17, 2021",New York City ,New York,0,4,4,Two adults and two teens were wounded in a potentially targeted drive-by in Williamsbridge.
"November 17, 2021",Newburgh,New York,0,4,4,Four teens were shot during a gunfight near a high school.
"November 17, 2021",Chicago ,Illinois,0,4,4,Four people were wounded in a drive-by shooting shortly after midnight on the Near West Side.
"November 15, 2021",New York City ,New York,0,4,4,Four men were shot outside of a bodega in Harlem.
"November 15, 2021",Aurora ,Colorado,0,6,6,Six teenagers were wounded in a drive-by shooting at a park located across from a high school.
"November 14, 2021",Philadelphia ,Pennsylvania,0,6,6,"Three men and three women were shot, one man critically."
"November 14, 2021",Columbia,Missouri,1,5,6,"Two men opened fire at each other at a lounge, wounding five. One of the shooters was killed by responding police."
"November 14, 2021",Chiloquin,Oregon,2,2,4,"Four people were shot, two of the victims fatally.  A man from Klamath Falls was arrested and charged with murder."
